消化系统药物 [口服常释剂型],国家
化积口服液,内科用药 ,国家
保利尔胶囊,内科用药 ,国家
葛兰心宁软胶囊,内科用药 ,国家
脑心清胶囊（片）,内科用药 ,国家
注射用丹参多酚酸盐,内科用药 ,国家
三七皂苷注射制剂,内科用药 ,国家
脉血康胶囊（片）,内科用药 ,国家
心脑舒通胶囊（片）,内科用药 ,国家
鳖甲煎丸,内科用药 ,国家
脑血康丸（颗粒、胶囊、片、滴丸、口服液）,内科用药 ,国家
丹蒌片,内科用药 ,国家
丹栀逍遥胶囊（片）,内科用药 ,国家
宽胸气雾剂,内科用药 ,国家
速效心痛滴丸,内科用药 ,国家
灯盏花素片,内科用药 ,国家
灯盏生脉胶囊,内科用药 ,国家
疏血通注射液,内科用药 ,国家
逐瘀通脉胶囊,内科用药 ,国家
活血通脉胶囊（片）,内科用药 ,国家
消瘀康胶囊（片）,内科用药 ,国家
滇白珠糖浆,内科用药 ,国家
越鞠保和丸,内科用药 ,国家
枳实导滞丸,内科用药 ,国家
活络丸,内科用药 ,国家
通天口服液,内科用药 ,国家
丹珍头痛胶囊,内科用药 ,国家
珍菊降压片,内科用药 ,国家
脑立清丸（胶囊、片）,内科用药 ,国家
二十味沉香丸,内科用药 ,国家
麝香海马追风膏,内科用药 ,国家
中风回春丸（颗粒、胶囊、片）,内科用药 ,国家
祖师麻注射液,内科用药 ,国家
都梁软胶囊（滴丸）,内科用药 ,国家
秦归活络口服液,内科用药 ,国家
松龄血脉康胶囊,内科用药 ,国家
清肝降压胶囊,内科用药 ,国家
壮骨关节胶囊,内科用药 ,国家
头痛宁胶囊,内科用药 ,国家
骨龙胶囊,内科用药 ,国家
天和追风膏,内科用药 ,国家
祖师麻膏药,内科用药 ,国家
追风透骨丸（胶囊、片）,内科用药 ,国家
附桂骨痛颗粒（胶囊、片）,内科用药 ,国家
武力拔寒散,内科用药 ,国家
四妙丸,内科用药 ,国家
风湿马钱片,内科用药 ,国家
金骨莲胶囊（片）,内科用药 ,国家
正清风痛宁注射液,内科用药 ,国家
肾炎四味丸（颗粒）,内科用药 ,国家
肾炎舒颗粒（胶囊、片）,内科用药 ,国家
三金胶囊（片）,内科用药 ,国家
导赤丸,内科用药 ,国家
复方雪莲胶囊,内科用药 ,国家
二妙丸,内科用药 ,国家
雷公藤口服制剂,内科用药 ,国家
加味天麻胶囊,内科用药 ,国家
通络骨质宁膏,内科用药 ,国家
盘龙七片,内科用药 ,国家
瘀血痹颗粒（胶囊、片）,内科用药 ,国家
肾炎消肿片,内科用药 ,国家
八正颗粒（胶囊、片）,内科用药 ,国家
复方石淋通胶囊（片）,内科用药 ,国家
泌淋颗粒（胶囊）,内科用药 ,国家
尿感宁颗粒,内科用药 ,国家
前列倍喜胶囊,内科用药 ,国家
肾舒颗粒,内科用药 ,国家
尿塞通胶囊（片）,内科用药 ,国家
风湿液,内科用药 ,国家
天麻壮骨丸,内科用药 ,国家
血脂康胶囊,内科用药 ,国家
降脂灵颗粒（胶囊、片）,内科用药 ,国家
绞股蓝总苷[甙]颗粒(胶囊、片）,内科用药 ,国家
泌淋清胶囊,内科用药 ,国家
前列安栓,内科用药 ,国家
前列平胶囊,内科用药 ,国家
野菊花栓,内科用药 ,国家
泽桂癃爽胶囊（片）,内科用药 ,国家
普乐安胶囊（片）,内科用药 ,国家
通痹胶囊（片）,内科用药 ,国家
化滞柔肝颗粒,内科用药 ,国家
降脂通脉胶囊,内科用药 ,国家
血滞通胶囊,内科用药 ,国家
消炎利胆颗粒（胶囊、片）,外科用药 ,国家
胆舒胶囊（片）,外科用药 ,国家
